8, 8 || 1, 1, 1, 1, 1, 1, 6, 9 || 0.11501495643707886, 0.11497301715399222, 4.193928308664219e-05
8, 8 || 1, 1, 1, 1, 1, 1, 6, 10 || 0.07145465817496488, 0.07141031004081633, 4.434813414855299e-05
8, 8 || 1, 1, 1, 1, 1, 1, 7, 9 || 0.12130800979075629, 0.12129516148958946, 1.284830116682345e-05
8, 8 || 1, 1, 1, 1, 1, 1, 7, 10 || 0.07775347345321486, 0.07773245437641352, 2.1019076801340186e-05
9, 5 || 1, 1, 1, 1, 1, 2, 3, 10 || 0.11139791975251356, 0.11120330323813067, 0.00019461651438289207
9, 6 || 1, 1, 1, 1, 1, 2, 3, 10 || 0.10881829364658153, 0.10863466675992296, 0.00018362688665857219
9, 5 || 1, 1, 1, 1, 1, 2, 4, 10 || 0.11139791975251356, 0.11120330323813067, 0.00019461651438289207
9, 6 || 1, 1, 1, 1, 1, 2, 4, 10 || 0.10881829364658153, 0.10863466675992296, 0.00018362688665857219
10, 7 || 1, 1, 1, 1, 1, 2, 5, 8 || 0.7184941985034214, 0.718364018159515, 0.00013018034390643862
9, 5 || 1, 1, 1, 1, 1, 2, 5, 10 || 0.11139791975251352, 0.11120330323813064, 0.0001946165143828782
9, 6 || 1, 1, 1, 1, 1, 2, 5, 10 || 0.10881829364658153, 0.10863466675992296, 0.00018362688665857219
8, 7 || 1, 1, 1, 1, 1, 2, 6, 8 || 0.2573263452712613, 0.25727394771716894, 5.2397554092364906e-05
8, 7 || 1, 1, 1, 1, 1, 2, 6, 9 || 0.23405934291881453, 0.23400287441311243, 5.646850570209527e-05
9, 7 || 1, 1, 1, 1, 1, 2, 6, 9 || 0.21635227636781518, 0.21622209602390874, 0.00013018034390643862
8, 7 || 1, 1, 1, 1, 1, 2, 6, 10 || 0.1894845683313331, 0.18942186983678433, 6.269849454876297e-05
9, 5 || 1, 1, 1, 1, 1, 2, 6, 10 || 0.11139791975251356, 0.11120330323813067, 0.00019461651438289207
9, 6 || 1, 1, 1, 1, 1, 2, 6, 10 || 0.10881829364658153, 0.10863466675992296, 0.00018362688665857219
10, 6 || 1, 1, 1, 1, 1, 2, 9, 10 || 0.5253968032863898, 0.5248569388266946, 0.0005398644596952273
7, 9 || 1, 1, 1, 1, 1, 3, 7, 8 || 0.3592904610048499, 0.35926975713648024, 2.0703868369664757e-05
6, 9 || 1, 1, 1, 1, 1, 3, 8, 9 || 0.33830236739174324, 0.33828166352337363, 2.0703868369609246e-05
5, 9 || 1, 1, 1, 1, 1, 3, 9, 10 || 0.3117200035089167, 0.3116992996405471, 2.0703868369609246e-05
9, 7 || 1, 1, 1, 1, 1, 3, 10, 10 || 0.14463254726928634, 0.1443687448253528, 0.00026380244393353625
9, 9 || 1, 1, 1, 1, 1, 3, 10, 10 || 0.08242147425837895, 0.08221344830232917, 0.00020802595604978158
10, 2 || 1, 1, 1, 1, 1, 4, 5, 8 || 0.6838639323235733, 0.6836577050839542, 0.00020622723961916112
9, 2 || 1, 1, 1, 1, 1, 4, 6, 9 || 0.12551037110145952, 0.12530414386184033, 0.00020622723961918887
7, 2 || 1, 1, 1, 1, 1, 4, 7, 8 || 0.0630627338522955, 0.06286236767649296, 0.0002003661758025327
6, 10 || 1, 1, 1, 1, 1, 4, 7, 9 || 0.35167298952687265, 0.35167298909216343, 4.347092130707608e-10
7, 2 || 1, 1, 1, 1, 1, 4, 8, 8 || 0.06443979656530495, 0.06286236767649298, 0.0015774288888119742
7, 3 || 1, 1, 1, 1, 1, 4, 8, 8 || 0.06283935715156362, 0.06199748448656771, 0.000841872664995913
7, 4 || 1, 1, 1, 1, 1, 4, 8, 8 || 0.06195054674880481, 0.06158739412253656, 0.00036315262626825107
7, 5 || 1, 1, 1, 1, 1, 4, 8, 8 || 0.06200953181729699, 0.061942453771181086, 6.707804611590096e-05
7, 6 || 1, 1, 1, 1, 1, 4, 8, 8 || 0.062167659831220475, 0.062150562984094646, 1.7096847125828984e-05
5, 10 || 1, 1, 1, 1, 1, 4, 8, 9 || 0.32003182585075096, 0.3200247538376215, 7.072013129438837e-06
7, 2 || 1, 1, 1, 1, 1, 4, 8, 9 || 0.07806642678806049, 0.07804268220206897, 2.3744585991511413e-05
9, 2 || 1, 1, 1, 1, 1, 4, 8, 9 || 0.1230754660949651, 0.12287493891294733, 0.00020052718201776787
9, 3 || 1, 1, 1, 1, 1, 4, 8, 9 || 0.11881285193911399, 0.11853630887493116, 0.0002765430641828298
9, 4 || 1, 1, 1, 1, 1, 4, 8, 9 || 0.11450973244231254, 0.11412511076019102, 0.0003846216821215137
9, 5 || 1, 1, 1, 1, 1, 4, 8, 9 || 0.11028464050725481, 0.10974496209161846, 0.0005396784156363466
